sender,sender_type,sender_id,timestamp,meta,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-13T16:38:37.220Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"",""platform"":""MacIntel"",""language"":""de"",""locale"":""de-CH"",""timeZone"":""Europe/Zurich"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":919,""window_innerWidth"":1920,""window_innerHeight"":967,""devicePixelRatio"":2}",,,,,2647.26,response,yellow,,,blue,,,,0,0,0,0,0,0,0,0,,Continue,click #Continue,,,,8234,8217,5553.2,5539,5569.74,8253.3,100,100,{}
consent,html.Form,0_1,2022-07-13T16:44:35.966Z,,,,true,,358731.7,form submission,,,,,,,,,,,,,,,,,,,,,,366985,366985,8233.42,8234,8253.3,366981.44,,,
instructions,html.Form,0_2,2022-07-13T16:45:54.549Z,,,,,,78586.56,form submission,,,,,,,,,,,,,,,,,,,,,,445568,445568,366975.48,366986,366981.44,445597,,,
Practice,canvas.Screen,0_3,2022-07-13T16:46:01.097Z,,,,,,6492,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,452115,452089,445566.4,445568,445597,452115.66,,,
fixation,canvas.Screen,0_4_0_0,2022-07-13T16:46:01.595Z,,,,,18,514.640000000014,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,false,452613,452598.02,452115.3,452116,452115.66,452630.3,,,
stimulus,canvas.Screen,0_4_0_1,2022-07-13T16:46:02.530Z,,,,,18,896.7000000000116,response,,0.545,0.545,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.545blue1yellowb%3D1w%3D100v%3D63.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D63.png,,,,,,,,,true,f,keypress(f),0.455,0.455,false,453548,453527,452598.02,452614,452630.3,453554.28,,,
choice,canvas.Screen,0_4_0_2,2022-07-13T16:46:04.527Z,,,0.545,,18,2010.219999999972,timeout,,,0.545,,0.455,,,-9,,,,,,,-9,,,,,0.455,false,455546,455530.9,453553.8,453554,453554.28,455564.5,,91,
timeout,canvas.Screen,0_4_0_3,2022-07-13T16:46:04.529Z,,,,,18,NaN,skipped,,,0.545,,,,,,,,,,,,,,,,,0.455,false,455548,455530.9,,455547,,455564.5,,,
ITI,canvas.Screen,0_4_0_4,2022-07-13T16:46:05.044Z,,,,,18,499.4199999999837,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,false,456063,456047.52,455530.9,455548,455564.5,456063.92,,,
trial,flow.Sequence,0_4_0,2022-07-13T16:46:05.045Z,,,,,18,3931.8600000000442,completion,,,0.545,,,,,,,,,,,,,,,,,0.455,false,456063,456047.52,452115.3,452116,452115.66,456063.92,,,
fixation,canvas.Screen,0_4_1_0,2022-07-13T16:46:05.545Z,,,,,12,516.7999999999884,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,456564,456546.84,456047.52,456063,456063.92,456580.72,,,
stimulus,canvas.Screen,0_4_1_1,2022-07-13T16:46:07.151Z,,,,,12,1569.280000000028,response,,0.47,0.53,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.47blue1yellowb%3D1w%3D100v%3D94.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D94.png,,,,,,,,,true,f,keypress(f),0.53,0.47,true,458170,458150,456546.84,456564,456580.72,458173.26,,,
choice,canvas.Screen,0_4_1_2,2022-07-13T16:46:09.162Z,,,0.47,,12,2024.5,timeout,,,0.53,,0.53,,,6,,,,,,,-3,,,,,0.47,true,460180,460164.58,458172.86,458173,458173.26,460197.76,,97,
timeout,canvas.Screen,0_4_1_3,2022-07-13T16:46:09.164Z,,,,,12,NaN,skipped,,,0.53,,,,,,,,,,,,,,,,,0.47,true,460182,460164.58,,460182,,460197.76,,,
ITI,canvas.Screen,0_4_1_4,2022-07-13T16:46:09.687Z,,,,,12,549,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,460705,460681.24,460164.58,460182,460197.76,460746.76,,,
trial,flow.Sequence,0_4_1,2022-07-13T16:46:09.687Z,,,,,12,4617.320000000007,completion,,,0.53,,,,,,,,,,,,,,,,,0.47,true,460706,460681.24,456047.52,456063,456063.92,460746.76,,,
fixation,canvas.Screen,0_4_2_0,2022-07-13T16:46:10.229Z,,,,,9,517.7000000000116,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,461246,461231.28,460681.24,460706,460746.76,461264.46,,,
stimulus,canvas.Screen,0_4_2_1,2022-07-13T16:46:11.939Z,,,,,9,1673.539999999979,response,,0.53,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D55.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D55.png,,,,,,,,,true,j,keypress(j),0.485,0.53,true,462958,462938,461231.28,461247,461264.46,462960.8,,,
choice,canvas.Screen,0_4_2_2,2022-07-13T16:46:13.946Z,,,0.485,,9,2020.280000000028,timeout,,,0.485,,0.53,,,3,,,,,,,0,,,,,0.53,true,464964,464947.82,462960.42,462960,462960.8,464981.08,,100,
timeout,canvas.Screen,0_4_2_3,2022-07-13T16:46:13.947Z,,,,,9,NaN,skipped,,,0.485,,,,,,,,,,,,,,,,,0.53,true,464966,464947.82,,464966,,464981.08,,,
ITI,canvas.Screen,0_4_2_4,2022-07-13T16:46:14.460Z,,,,,9,499.4400000000023,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,465478,465463.36,464947.82,464966,464981.08,465480.52,,,
trial,flow.Sequence,0_4_2,2022-07-13T16:46:14.460Z,,,,,9,4716.599999999977,completion,,,0.485,,,,,,,,,,,,,,,,,0.53,true,465479,465463.36,460681.24,460706,460746.76,465480.52,,,
fixation,canvas.Screen,0_4_3_0,2022-07-13T16:46:14.961Z,,,,,6,533.3399999999674,timeout,,,0.515,,,,,,,,,,,,,,,,,0.485,true,465980,465964.5,465463.36,465479,465480.52,466013.86,,,
